<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.08.21	02:12:00	1.11281	1.11286	1.11281	1.11283	9	0	5
2024.08.21	02:13:00	1.11283	1.11285	1.11282	1.11283	7	0	5
2024.08.21	02:14:00	1.11283	1.11284	1.11280	1.11282	9	0	5
2024.08.21	02:15:00	1.11282	1.11284	1.11274	1.11277	18	0	4
2024.08.21	02:16:00	1.11277	1.11283	1.11277	1.11282	8	0	5
2024.08.21	02:17:00	1.11282	1.11286	1.11282	1.11284	6	0	5
2024.08.21	02:18:00	1.11285	1.11285	1.11281	1.11281	10	0	5
2024.08.21	02:19:00	1.11281	1.11288	1.11281	1.11288	19	0	4
2024.08.21	02:20:00	1.11288	1.11288	1.11287	1.11288	21	0	5
2024.08.21	02:21:00	1.11287	1.11292	1.11287	1.11292	22	0	4
2024.08.21	02:22:00	1.11291	1.11291	1.11287	1.11287	8	0	5
2024.08.21	02:23:00	1.11287	1.11288	1.11287	1.11288	6	0	5
2024.08.21	02:24:00	1.11288	1.11292	1.11287	1.11289	11	0	4
2024.08.21	02:25:00	1.11288	1.11293	1.11288	1.11293	18	0	4
2024.08.21	02:26:00	1.11293	1.11296	1.11292	1.11293	19	0	4
2024.08.21	02:27:00	1.11293	1.11297	1.11292	1.11293	17	0	5
2024.08.21	02:28:00	1.11293	1.11294	1.11293	1.11294	12	0	5
2024.08.21	02:29:00	1.11296	1.11299	1.11294	1.11299	15	0	4
2024.08.21	02:30:00	1.11299	1.11299	1.11297	1.11297	7	0	5
2024.08.21	02:31:00	1.11297	1.11301	1.11296	1.11301	20	0	5
2024.08.21	02:32:00	1.11301	1.11301	1.11297	1.11298	16	0	5
2024.08.21	02:33:00	1.11298	1.11299	1.11294	1.11296	16	0	5
2024.08.21	02:34:00	1.11296	1.11314	1.11296	1.11314	25	0	4
2024.08.21	02:35:00	1.11314	1.11314	1.11306	1.11308	18	0	5
2024.08.21	02:36:00	1.11308	1.11309	1.11298	1.11299	12	0	5
2024.08.21	02:37:00	1.11299	1.11308	1.11299	1.11308	15	0	4
2024.08.21	02:38:00	1.11307	1.11309	1.11304	1.11305	8	0	4
2024.08.21	02:39:00	1.11305	1.11306	1.11304	1.11304	6	0	4
2024.08.21	02:40:00	1.11304	1.11304	1.11294	1.11295	14	0	4
2024.08.21	02:41:00	1.11294	1.11295	1.11294	1.11295	8	0	4
2024.08.21	02:42:00	1.11295	1.11299	1.11295	1.11299	9	0	3
2024.08.21	02:43:00	1.11299	1.11299	1.11298	1.11298	14	0	4
2024.08.21	02:44:00	1.11298	1.11300	1.11298	1.11299	9	0	4
2024.08.21	02:45:00	1.11299	1.11299	1.11298	1.11299	5	0	4
2024.08.21	02:46:00	1.11298	1.11299	1.11294	1.11295	14	0	4
2024.08.21	02:47:00	1.11295	1.11296	1.11294	1.11294	6	0	4
2024.08.21	02:48:00	1.11294	1.11295	1.11294	1.11294	11	0	4
2024.08.21	02:49:00	1.11294	1.11294	1.11284	1.11284	6	0	4
2024.08.21	02:50:00	1.11280	1.11283	1.11278	1.11282	16	0	4
